; object file translation for bglxml
; format:
; guid,name
;
; where:
; guid = 128 bit guid (in hex format, 32 bytes)
; name = descriptive name for this object
 1175930c481b714330ce10b2d0f09737 , sw_disn3
 119b5dfc466567a20df94e9f51d54def , mia_building_b
 11c096b2447c84840f07458420b7419d , ne_mainb
 1240f07546136b1b38a1bfb37d88481d , phx_tower
 127136ea422349c212de15aaad449bd7 , gen_bridge04
 127ae2844ec325ae72e3cfbca3f57dbf , gen_ndbwater
 1337570045abfb54f673f2861b2e8ee6 , ancat
 133af24845a2cbc6c72c41b130628dba , ams_oost5
 13b8d953405944dee7d59987161ee01a , den_hanger_m
 13ce128741a75de40615649e4d3d7525 , ldm_tokyo_shinagawaintercity_3
 13ce3f0f4e1a67714bf9198a1210e4fa , sm_resortbld_bigorange
 13cfd72c4abb3471850407aab38b5a0f , ancz
 13da231746f9121a9566fa9b92f92cfd , nv24
 142067574ad9fd22d9be04876f965188 , dfw_west_e
 142d228a4d262a8bfb0a558474ce67f2 , mia_cargo_b
 143722494c8e41d5acdcd886332637bf , sfoza
 1496104d481e87ff9aa204b451448a44 , mia_maintenance_n
 14b8b5e0437e02bca9b0b592839eed33 , kl_menaratower
 14dd7e3c47f622ddbe1cf3b3eab588e9 , mia_maintenance_i
 14f7478b4920b04ad08ae7a8aa5b5ca0 , nv22
 155cd39d46caa8c4a2feb7b87ac33a0d , jfk_cargo_2j
 1576bbe046d19912d96527aed3c46b88 , nar_jetway02
 1590dcde4bd6b88421290590d27c633c , mil
 159c621b46c1a041615183a9841b2f11 , saqqara1
 15c0e405416764aaf93adf8f3c71f2d1 , gen_launchpad_alone02
 15efc033437b09da391ee7a8bb4a5c0c , sy08a
 162c89d442712b59203930830cb4bc85 , ldm_chi_presidentialtowersc
 162d558845febcb3a4c7f2b43558c32c , cdg_terminal01_c
 166940364e6e7c850bcd74aabbc2dc60 , can_jacques
 16b502d8486a714a41dff2a82ff44a62 , phx_honeywellm
 16d2b17c4ee145e091c6a09bf2dd150f , fl08a
 16ee8b844633f34adb1867b76b6f06fb , laxb
 16f088af4d6c7f6bf6a99b9cd22b7f9a , tn02a
 176661b448aced2405896bb84d09550c , planes03
 17a54b77459dd0a255707bab3b7ebd87 , pboat_57ft_bluehull
 17dc27f4412379a34adc16819a0af977 , ag_fastfood_1
 183f91f24a672da4eb9a05a73ee8db25 , heaq
 184268a6413bdb82cc3783bb119a5c62 , ag_gas_2
 18b2918f497c11d1f2a2c0b565e56362 , gen_bridge07_2
 18b41d4547f8749e3813e5b657cdd735 , gen_bridge02_2
 18da4f064754ea2e866cda8f1156e147 , ancf
 18dc75f211d334471000869c2ae60c5a , ldm_sf_palaceoffinearts
 1939d1934537ab6a450151b195d85b3c , chici
 193a2264464e53ec796b39b1ae929f0d , gen_bridge05
 1950066d45a7bb378e5131bb551eba20 , mia_cargo_h
 19731a8840ae480f344f5496e7ce260f , cdg_tower_a
 19a82027406e934ba42eb895bc776f9e , ldm_tokyo_akibahara_buildings
 19ba90fd48971942b140acaba2d26974 , ancj
 19c0381044545d3d76c2edb3f7d1fce6 , phx_ng_b
 1afd30054ec6cfb230b1b19c9e323166 , ldm_berlin_shauspielhaus_shadow
 1b0b825342da927fa34bc6b26993881f , nw_astro
 1b5318514f7c27aafb61a8ac7544f55e , ga12a
 1b9f21c744afe3d7128a6d82748303e2 , dfw_maintenance_c
 1bb5dda846bcd7a384d2e68614ffe372 , ldm_par_cityblock7
 1be366f54ccb7f86c3a4eb94f6c267fa , sfow
 1bf46bf446906b50a9fc6cbcd0083b05 , chixx
 1c05f3974ccb211574516eabb420aaf2 , hongf
 1c13cd5c45349cd9e065c9aefb72447c , dfw_usps_c
 1c3c2ca841aef4d9bcce219e0823b561 , inf_small_wooden_bridgeiib
 1c50047b4f8dc0a29250abb1be30ca2f , sw_conv
 1c79da2f47070e5827f0758946544885 , ams_main18a
 1c7f6c1747d46e2dd7c4e588d30a2cd7 , phx_west_j
 1cb869e043e1cfe6f80e8792402bbfad , ams_parking01
