acropol	{7a326bdd-0e16-401c-b275-0330067879a4}
ag_gas_8	{ca74e313-fb43-4405-8333-dfa8af63c2f4}
ag_gas_9	{1dd648f7-5322-4456-b2fc-a4437e446520}
ag_genericsign	{ab068666-d8e8-486b-90d6-164c45557688}
ag_highpower	{0b5dfe75-3c87-4091-8568-1d70734a066e}
ag_hotel_1	{91465312-80da-42bd-8125-a56081b7359e}
ag_iceberg_1	{65364a8b-bec4-45dd-a5c9-4460bb24db17}
ag_iceberg_2	{2db0350a-8cac-4362-89cd-19afe2f14062}
ag_iceberg_3	{f7076488-4d9b-4c18-b7c7-8d56112c2836}
ag_iceberg_4	{eb32b37f-b396-4537-993c-f271a3f452b5}
ag_iceberg_5	{3bcb4fb6-6811-42dd-8345-1ec447765e5f}
ag_largebillboard	{f64a1a40-27ff-42ae-b547-50e20d481f33}
ag_lightpole	{47c97ced-c4e6-4e4b-8e9f-b110989eea62}
ag_median	{68bc20d4-f7b2-4406-a058-64648d4a2e33}
ag_mediumgrandstand	{3e7d2f41-bbf5-42ab-a22a-8b193909b719}
ag_moundcoal	{d2f81edb-0a36-42b3-8c3b-2c85dc4e9755}
ag_moundrubble1	{9e72aaf4-8ab8-4de6-a54a-68b36a4a32a6}
ag_moundrubble2	{5bda3ba5-ffda-4d84-8639-39b91d73a0fb}
ag_moundsand	{a68eab2c-34ff-48fc-a86a-4394cee3768c}
ag_observe	{cd637684-75c4-429d-b295-345ea2551369}
ag_roadsign	{84744a27-000a-447b-af09-dfaca7d0f2b2}
ag_school	{355c8a80-4576-4c7d-9b9b-bd0cba07d267}
ag_shoppingcenter	{a421bac4-0be5-4320-b4db-9073664f413c}
ag_silo	{483f721d-a794-4cb3-b3a8-a05b408a89ca}
ag_stripmall_1	{d81468da-ef1e-4b16-ae1f-396b56b35b48}
ag_stripmall_2	{f3bf210f-8995-4f69-94c4-044709214580}
ag_stripmall_3	{a27da17e-96e1-4b84-9c99-d81b4c6d9d65}
ag_stripmall_4	{a876bade-6c86-4569-b439-c804a8f7ae54}
ag_stripmall_5	{2142c7d4-b5a6-4c11-aeb8-b748d05a04c8}
ag_telephonepole	{46f3d6cb-4270-4373-aee9-89fb38462ea9}
ag_usbuilding01	{34600a21-e1c1-4e95-8823-328ade417703}
ag_uselectricpost01	{d74e7324-cf68-4f4e-a93a-ad03d1aac984}
